"GSI","Species","Sex","year","month.label","month","act.date","date","lunar.date","gwt","swt","rep.id"
7.69004001,"mono","female",3,"Jul",7,8,2003-07-08,9,18.26,237.45,28
7.01980198,"mono","female",3,"Jul",7,8,2003-07-08,9,35.45,505,30
18.3552197,"mono","female",3,"Jul",7,8,2003-07-08,9,50.04,272.62,37
9.30387996,"mono","female",3,"Jul",7,8,2003-07-08,9,27.84,299.23,41
16.0572084,"mono","female",3,"Jul",7,8,2003-07-08,9,50.41,313.94,44
7.63614346,"mono","female",3,"Jul",7,8,2003-07-08,9,42.88,561.54,46
10.9006356,"mono","female",3,"Jul",7,8,2003-07-08,9,35.16,322.55,47
16.2343358,"mono","male",3,"Jul",7,8,2003-07-08,9,25.91,159.6,50
3.02152158,"mono","female",3,"Jul",7,8,2003-07-08,9,7.82,258.81,51
6.25363583,"mono","male",3,"Jul",7,8,2003-07-08,9,10.75,171.9,53
14.84907498,"psac5","female",3,"Jul",7,8,2003-07-08,9,9.15,61.62,27
2.712068706,"psac5","female",3,"Jul",7,8,2003-07-08,9,3.6,132.74,32
18.61483233,"psac5","female",3,"Jul",7,8,2003-07-08,9,21.26,114.21,33
15.45357348,"psac5","female",3,"Jul",7,8,2003-07-08,9,18.79,121.59,34
12.66656456,"psac5","female",3,"Jul",7,8,2003-07-08,9,8.27,65.29,39
7.958145339,"psac5","female",3,"Jul",7,8,2003-07-08,9,8.29,104.17,41
17.51544269,"psac5","male",3,"Jul",7,8,2003-07-08,9,25.52,145.7,21
47.45538665,"psac5","male",3,"Jul",7,8,2003-07-08,9,35.9,75.65,23
11.29134572,"psac5","male",3,"Jul",7,8,2003-07-08,9,9.968,88.28,24
11.93193397,"psac5","male",3,"Jul",7,8,2003-07-08,9,11.71,98.14,31
19.7864259,"mono","male",3,"Jul",7,14,2003-07-14,15,75.21,380.109073,101
22.4928145,"mono","male",3,"Jul",7,14,2003-07-14,15,72.78,323.57,106
8.82156595,"mono","female",3,"Jul",7,14,2003-07-14,15,27.75,314.57,107
21.3546817,"mono","male",3,"Jul",7,14,2003-07-14,15,136.04,637.05,111
18.3359876,"mono","female",3,"Jul",7,14,2003-07-14,15,103.04,561.955005,116
20.5889746,"mono","male",3,"Jul",7,14,2003-07-14,15,155.43,754.918604,119
13.9747829,"mono","male",3,"Jul",7,14,2003-07-14,15,88.65,634.356905,122
24.0277572,"mono","female",3,"Jul",7,14,2003-07-14,15,64.75,269.48,127
11.0739378,"mono","female",3,"Jul",7,14,2003-07-14,15,3.31,29.89,128
10.1104677,"mono","female",3,"Jul",7,14,2003-07-14,15,61.48,608.082651,130
7.257241942,"psac5","female",3,"Jul",7,14,2003-07-14,15,14.23,196.08,101
6.462035541,"psac5","female",3,"Jul",7,14,2003-07-14,15,4,61.9,110
3.090680891,"psac5","female",3,"Jul",7,14,2003-07-14,15,5.91,191.22,120
0.905614812,"psac5","female",3,"Jul",7,14,2003-07-14,15,2.25,248.45,121
4.427670122,"psac5","female",3,"Jul",7,14,2003-07-14,15,3.93,88.76,123
9.989754098,"psac5","female",3,"Jul",7,14,2003-07-14,15,3.9,39.04,124
