"","ZONE","site","depth","SA","complexity","rugosity","LC","HC","macro","SCORE1","SCORE2","Herbivore.abundance","Invertivore.abundance","Piscivore.abundance","Planktivore.abundance","Herbivore.biomass","Invertivore.biomass","Piscivore.biomass","Planktivore.biomass","sqrt.Herbivore.abundance","sqrt.Invertivore.abundance","sqrt.Piscivore.abundance","sqrt.Planktivore.abundance","log.Herbivore.biomass","log.Invertivore.biomass","log.Piscivore.biomass","log.Planktivore.biomass"
"1","FISHED","MESA",3.2,321.8344412,3.5,1.643835616,0,0,0,1.22,-0.00782,17.9999999989878,53.9999999948629,29.9999999994341,288.000000051688,1221.26602510691,4724.72393894517,3364.99517423276,10444.5473480415,4.242640687,7.348469228,5.477225575,16.97056275,3.08716574,3.674468348,3.527113489,4.018931202
"2","FISHED","MESA",3.9,309.1074592,4.5,1.714285714,20,16,2,2.44,-0.00349,58.0000000020729,252.000000114692,66.000000005915,196,12321.3436673446,22065.5382834406,11102.265072064,2565.59869434395,7.615773106,15.87450787,8.124038405,14,4.090693317,4.343734208,4.045450708,3.409357969
"3","FISHED","MESA",3.9,118.7198571,2.5,1.395348837,38,0,0,1.1,-1.59,22.0000000016564,27.0000000030488,1,122.000000062135,9475.76226484881,16687.4200701221,65.0320602805228,2025.8221229092,4.69041576,5.196152423,1,11.04536102,3.976659986,4.222415223,1.819754848,3.306815636
"4","FISHED","MESA",1.7,252.3626052,1,1.045296167,0,0,67,-2.72,-0.157,3.00000000149345,12.9999999966541,4,0,473.192678260718,633.419949460574,437.724781145413,0,1.732050808,3.605551275,2,0,2.675954844,2.802376831,2.642192166,0
"5","FISHED","MESA",3.2,132.359942,0.5,1.052631579,0,0,69,-2.96,-0.116,0,4,0,0,0,445.451484109656,0,0,0,2,0,0,0,2.649774271,0,0
"6","SANCTUARY","MANGROVE",2.1,149.2458084,3,1.967213115,4,6,6,1.46,0.242,84.9999999945994,210.000000110441,8.00000000143577,80.000000000015,8672.12624549027,15458.4671937023,232.574848591353,3324.79221972758,9.219544457,14.49137675,2.828427125,8.94427191,3.938175668,4.189194522,2.368426076,3.521895113
"7","SANCTUARY","MANGROVE",2.5,344.8978579,3.5,1.538461538,24,2,24,1.06,-1.02,45.9999999983008,145.999999913133,64.999999995186,286.000000159382,4438.89516852428,21960.4129880093,7486.25226698156,6996.1604223524,6.782329983,12.08304597,8.062257748,16.91153453,3.647372716,4.341660279,3.874322466,3.844921831
"8","SANCTUARY","MANGROVE",2.9,61.93655062,2,1.363636364,4,1,20,-0.276,-0.104,19.0000000040043,25,1,46.9999999945012,461.300564775596,1097.15729016117,43.1888305313141,352.198147445669,4.358898944,5,1,6.8556546,2.664924424,3.040664549,1.645312508,2.548018417
"9","SANCTUARY","MANGROVE",3.1,380.2003416,1,1.2,2,6,75,-2.24,0.135,34.0000000018041,64,1.99999999894473,64,589.295661097885,3415.47996290325,11.0338228236699,212.875592166239,5.830951895,8,1.414213562,8,2.771069591,3.533578878,1.080403613,2.330161225
"10","SANCTUARY","MANGROVE",3.7,188.8987909,2.5,1.62601626,48.6,0,8,1.55,-2.03,14.0000000016917,50.0000000019025,1,71.9999999959513,1116.00484533771,5970.92133010013,251.552148224307,438.826832681203,3.741657387,7.071067812,1,8.485281374,3.048055057,3.776114078,2.402351067,2.643281721
"11","SANCTUARY","MANGROVE",4.5,436.6838093,3.5,2.181818182,3,5.6,18.4,1.59,0.191,47.9999999961824,90.999999996767,53.9999999948629,208.999999861187,5330.11754102872,14939.5596232971,7528.88225191989,3271.76466819422,6.92820323,9.539392014,7.348469228,14.45683229,3.726818258,4.174366865,3.876788185,3.514914778
"12","FISHED","NTH MANGROVE",3.5,83.51676336,2.5,1.846153846,0,80,0,2.63,4.87,12.9999999966541,66.000000005915,19.0000000040043,550.000000041409,659.490008117319,4364.26505685227,1542.96281314696,4834.14268908772,3.605551275,8.124038405,4.358898944,23.4520788,2.819866252,3.640010619,3.188636836,3.684409295
"13","SANCTUARY","MANGROVE",3.1,54.72277731,3.5,1.363636364,34,0,9.6,1.2,-1.55,29.9999999994341,44.0000000038367,1.99999999894473,75.0000000026953,13663.612011845,15135.2385961678,303.180173308558,1800.77051231799,5.477225575,6.633249581,1.414213562,8.660254038,4.135597305,4.180017965,2.483130903,3.255699475
"14","FISHED","NTH MANGROVE",3,88.19923016,2.5,1.237113402,0,5.6,0,0.0904,0.336,38.0000000003825,88.0000000066255,4,135.000000032016,19267.4436830695,14044.6643873359,918.49897616444,1588.88456454855,6.164414003,9.38083152,2,11.61895004,4.284846638,4.147542287,2.96355125,3.201365593
"15","FISHED","NTH MANGROVE",3.3,110.4295177,2,1.239669421,3.6,14,4,0.0275,0.714,17.9999999989878,50.0000000019025,14.0000000016917,136.000000007216,1277.2106831054,6743.62664649807,4581.36199105927,4630.97668810655,4.242640687,7.071067812,3.741657387,11.66190379,3.106602443,3.828957914,3.661089394,3.665766365
"16","FISHED","NTH MANGROVE",4.1,62.63568974,1,1.149425287,0,40,0,-0.138,2.49,10.9999999976425,27.0000000030488,1.99999999894473,14.0000000016917,142.248235457368,603.138082755167,425.9955087239,40.9037181530545,3.31662479,5.196152423,1.414213562,3.741657387,2.156089281,2.781136213,2.630423307,1.62225256
"17","FISHED","MESA",2,68.95717424,2,1.357466063,7,3,17,-0.125,-0.104,19.0000000040043,29.9999999994341,4.99999999776487,8.00000000143577,345.390492278582,838.23684417519,741.730954141442,77.1578706754258,4.358898944,5.477225575,2.236067977,2.828427125,2.539565963,2.923884542,2.870831524,1.892972719
"18","FISHED","MESA",3,136.8339956,3.5,1.428571429,40,14,2,1.89,-0.935,52.0000000010387,66.000000005915,59.0000000020185,623.999999820464,2094.78040741202,4639.48603445052,8737.27902094003,8570.1545872064,7.211102551,8.124038405,7.681145748,24.97999199,3.321345776,3.66656347,3.941425908,3.933039328
"19","FISHED","MESA",2,517.593683,0,1.034482759,0,0,22,-2.24,0.0912,0,10.9999999976425,0,1,0,584.226700171777,0,2.44727623961774,0,3.31662479,0,1,0,2.767324132,0,0.537476086
"20","FISHED","MESA",2.1,405.5879967,0,1.094890511,0,5,74,-3.05,0.224,6.00000000106221,14.0000000016917,4.99999999776487,10.9999999976425,1658.89489016528,5272.54523962138,1248.24508948688,120.638318520431,2.449489743,3.741657387,2.236067977,3.31662479,3.220080588,3.722102676,3.096647651,2.085070408
"21","FISHED","MESA",3.2,136.1109364,4,1.769911504,48,0,0,2.58,-2.09,38.999999995024,64.999999995186,3.00000000149345,241.00000011612,7390.80169077023,3966.23542238732,444.035930835147,5894.02444050308,6.244997998,8.062257748,1.732050808,15.5241747,3.868750307,3.598487973,2.648395076,3.77048561
"22","SANCTUARY","MANDU",2.1,164.0462845,1,1.158301158,0,6,46,-1.78,0.312,31.9999999944294,31.0000000018928,4.99999999776487,22.9999999970005,1772.46304019201,1332.31204960917,577.823778572901,121.797628025761,5.656854249,5.567764363,2.236067977,4.795831523,3.248822142,3.124931804,2.762546364,2.089189978
"23","SANCTUARY","MANDU",2.2,257.4920567,3,1.5,28,4,34,0.673,-1.07,49,98.9999999986826,17.9999999989878,128.999999963643,12806.4183252856,11206.835368805,787.674263691376,1123.24098044933,7,9.949874371,4.242640687,11.35781669,4.107461595,4.049521743,2.896897669,3.050859412
"24","SANCTUARY","MANDU",1.7,296.1813284,3,1.463414634,80,0,0,2.3,-3.42,47.9999999961824,45.9999999983008,1.99999999894473,28.9999999985513,8343.71296988854,3698.10591098611,1145.98380800491,381.785065256269,6.92820323,6.782329983,1.414213562,5.385164807,3.921411403,3.568096766,3.059557287,2.582954985
"25","SANCTUARY","MANDU",1.4,288.8181012,0,1.071428571,0,0,26,-2.19,0.0903,3.00000000149345,17.9999999989878,3.00000000149345,1,292.047151314622,191.013233414674,688.734816657813,2.09306177591751,1.732050808,4.242640687,1.732050808,1,2.466937504,2.283331161,2.838682149,0.490388594
"26","FISHED","NTH MANDU",3.2,191.6852386,3.5,1.518987342,26,6,4,1.57,-0.8,53.9999999948629,162.999999877341,38.0000000003825,279.999999977192,5886.49529405029,9105.21988773141,72484.779399963,7022.7475885908,7.348469228,12.76714533,6.164414003,16.73320053,3.769930573,3.959338133,4.860252813,3.846568896
"27","FISHED","MESA",2.1,115.5687763,0.5,1.081081081,0,0,22,-1.85,0.062,3.00000000149345,27.0000000030488,4,0,351.296360825305,529.287674609995,287.208804528759,0,1.732050808,5.196152423,2,0,2.546908157,2.724511533,2.459707244,0
"28","SANCTUARY","JURABI",3.8,167.1399663,3,1.41509434,18,6,0,1.09,-0.417,20.0000000000038,38.999999995024,4.99999999776487,0,2941.87591052794,4535.50384178282,451.993675891001,0,4.472135955,6.244997998,2.236067977,0,3.46877195,3.656721283,2.656092139,0
"29","SANCTUARY","JURABI",3.7,235.3277637,3.5,1.284796574,0,28,0,1.1,1.59,42.9999999960393,67.999999996119,6.00000000106221,40.9999999944568,8358.85011541856,4981.38079652407,1131.67633788632,1953.9533476594,6.557438524,8.246211251,2.449489743,6.403124237,3.922198491,3.697436917,3.054105828,3.291136398
"30","SANCTUARY","JURABI",3.6,224.1610093,2,1.086956522,0,0,52,-1.81,-0.181,20.0000000000038,27.0000000030488,4.99999999776487,41.9999999947135,2130.57399377384,6023.06223580602,1457.16413793745,558.600000232206,4.472135955,5.196152423,2.236067977,6.480740698,3.328700413,3.77988945,3.163806413,2.747877706
"31","SANCTUARY","JURABI",3.4,475.0149746,1,1.140684411,0,0,34,-1.69,-0.00734,1.99999999894473,27.0000000030488,9,75.9999999985817,434.440478951229,3860.00801349385,2670.89568748267,255.659033788354,1.414213562,5.196152423,3,8.717797887,2.638928799,3.586700703,3.426819499,2.409356555
"32","SANCTUARY","JURABI",4.1,100.4914679,2,1.310043668,6,2,0,0.0951,-0.0707,10.9999999976425,9,1,22.0000000016564,693.313160088093,371.185001733075,124.827796125472,501.382199501752,3.31662479,3,1,4.69041576,2.841555397,2.570758868,2.09977659,2.701034243
"33","SANCTUARY","JURABI",3.6,109.6232002,1.5,1.181102362,0,0,22,-1.09,0.0016,12.9999999966541,27.9999999986329,4,11.9999999990456,1109.14862663588,3050.82737963711,813.883554092825,41.7515852285687,3.605551275,5.291502622,2,3.464101615,3.045381126,3.484559965,2.911095553,1.630952223
"34","FISHED","MESA",3.7,74.20490393,3,1.276595745,6,4,4,0.415,-0.0661,27.0000000030488,44.9999999933003,11.9999999990456,262.000000121766,2371.21813143295,2835.56621556444,1950.37885187333,8509.00366260813,5.196152423,6.708203932,3.464101615,16.18641406,3.375154621,3.452792926,3.290341594,3.929929747
"35","FISHED","MESA",2.9,135.4058951,4,1.304347826,8,10,0,1.17,0.134,62.999999996924,53.9999999948629,6.00000000106221,194.000000078441,9025.61898066485,3144.97596988605,816.538835334374,2049.73958218322,7.937253933,7.348469228,2.449489743,13.92838828,3.955525111,3.497755401,2.912508392,3.311910514
"36","FISHED","MESA",2.1,98.84527186,0.5,1.034482759,0,0,44,-2.49,-0.0333,6.00000000106221,12.9999999966541,29.9999999994341,3.00000000149345,89.9983297426225,66.9613562267837,118.567373683093,11.7011372766485,2.449489743,3.605551275,5.477225575,1.732050808,1.959033421,1.832262037,2.07761269,1.10384261
"37","SANCTUARY","MANGROVE",2.6,32.99946287,3,1.176470588,6,2,10,-0.0195,-0.233,33.0000000053077,38.0000000003825,4.99999999776487,10.9999999976425,4690.14048602965,2915.73752467281,317.044031571955,272.158654598455,5.744562647,6.164414003,2.236067977,3.31662479,3.671278439,3.464897349,2.50248725,2.436414965
"38","SANCTUARY","MANGROVE",1.8,71.59080261,0,1.008403361,0,0,30,-2.51,0.0526,0,6.00000000106221,0,0,0,83.7984527299636,0,0,0,2.449489743,0,0,0,1.928387928,0,0
"39","SANCTUARY","MANGROVE",2.2,76.09548083,2.5,1.333333333,12,2,24,-0.026,-0.454,29.9999999994341,25,11.9999999990456,131.999999929318,4977.87089597978,1073.80203241903,1507.94541926123,3190.79295640672,5.477225575,5,3.464101615,11.48912529,3.697130865,3.031328479,3.178673531,3.504034712
"40","SANCTUARY","MANGROVE",2.2,159.2629172,3.5,1.518987342,8,0,2,1.14,-0.378,38.0000000003825,70.999999997028,11.9999999990456,199.000000009427,7806.16908018198,4955.72914488236,227.33292967184,3940.78029384707,6.164414003,8.426149773,3.464101615,14.10673598,3.892493585,3.695195188,2.358568549,3.595692414
"41","SANCTUARY","MANGROVE",1.8,339.8302956,4,1.428571429,0,12,8,1.14,0.594,93.0000000001359,277.000000096756,45.9999999983008,204.99999990618,10043.7039914905,13920.1687517736,6945.40183915422,5342.95514265709,9.643650761,16.64331698,6.782329983,14.31782106,4.001937143,4.143675698,3.841759903,3.727862804
"42","FISHED","NTH MANGROVE",3.6,51.51412119,2,1.071428571,0,4,70,-2.17,-0.0128,3.00000000149345,46.9999999945012,4,11.9999999990456,915.299572616541,1047.94820230611,412.032981201455,157.707413177998,1.732050808,6.8556546,2,3.464101615,2.962037484,3.020754043,2.615984732,2.200597213
"43","FISHED","NTH MANGROVE",2.7,94.46147955,3,1.428571429,0,0,16,0.288,-0.0558,27.0000000030488,54.9999999985811,3.00000000149345,88.999999998932,3901.58471280347,15067.2449674418,389.98774840657,2751.08832530569,5.196152423,7.416198487,1.732050808,9.433981132,3.591352339,4.178062672,2.592163149,3.439662368
"44","FISHED","NTH MANGROVE",2.5,248.5939142,3,1.538461538,0,0,58,-0.418,-0.186,29.9999999994341,67.999999996119,6.00000000106221,85.999999990806,7624.26587315595,5038.4015706263,580.602070580925,3185.03727120538,5.477225575,8.246211251,2.449489743,9.273618495,3.882254991,3.702378967,2.764625944,3.503250852
"45","FISHED","NTH MANGROVE",2,90.19713362,0,1.034482759,0,0,62,-3.1,-0.0516,0,9,0,0,0,16.5242147262598,0,0,0,3,0,0,0,1.243638566,0,0
"46","SANCTUARY","MANDU",1.8,23.64948303,1.5,1.363636364,0,0,52,-1.29,-0.0599,11.9999999990456,21.0000000004047,1,1.99999999894473,697.541000682387,618.24909420182,27.1296416744342,4.18612355195873,3.464101615,4.582575695,1,1.414213562,2.844191902,2.79186538,1.4491642,0.714842859
"47","SANCTUARY","MANDU",2.4,142.3711518,2.5,1.428571429,7,8,8,0.537,0.194,28.9999999985513,34.0000000018041,1,50.0000000019025,1032.75346200403,2020.89417928879,6.43590848164176,154.957566496407,5.385164807,5.830951895,1,7.071067812,3.014416977,3.305758422,0.871334036,2.19300645
