"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.X4mm","sqrt.X2mm","sqrt.X1mm","sqrt.X500um","fetch","org","snapper","lobster","Status","Distance","cumsum.wi"
"BDS.sqrt.X500um+Status+Distance","sqrt.X500um+Status+Distance",344.61503443035,387.330617320029,0.5337,NA,19.65,0,0,0,0.162,0.225,0,0,0,1,0,0,0,0,1,1,0.162
"BDS.fetch+Status+Distance","fetch+Status+Distance",345.261126296606,388.334827664104,0.46305,NA,20.14,0,0.646,1.004,0.117,0.136,0,0,0,0,1,0,0,0,1,1,0.279
"BDS.Status+Distance+sqrt.X500um.by.Status","Status+Distance+sqrt.X500um.by.Status",345.593896325794,388.849916465516,0.51263,NA,20.09,0,0.979,1.519,0.099,0.105,0,0,0,1,0,0,0,0,1,1,0.378
"BDS.fetch+lobster+Distance","fetch+lobster+Distance",345.815874753348,389.00416555432,0.47085,NA,19.96,0,1.201,1.674,0.089,0.097,0,0,0,0,1,0,0,1,0,1,0.467
"BDS.fetch+Distance","fetch+Distance",345.881566785452,389.067029100226,0.44186,NA,20.3,0,1.267,1.736,0.086,0.094,0,0,0,0,1,0,0,0,0,1,0.553
"BDS.fetch+snapper+Distance","fetch+snapper+Distance",346.663891977369,390.21739533209,0.4408,NA,20.66,0,2.049,2.887,0.058,0.053,0,0,0,0,1,0,1,0,0,1,0.611
"BDS.sqrt.X500um+Status+Distance.t.Status","sqrt.X500um+Status+Distance.t.Status",346.960283821045,390.707969441043,0.52404,NA,20.66,0,2.345,3.377,0.05,0.041,0,0,0,1,0,0,0,0,1,1,0.661
"BDS.sqrt.X500um+snapper+Distance","sqrt.X500um+snapper+Distance",347.17847388405,391.12262900101,0.52615,NA,20.98,0,2.563,3.792,0.045,0.034,0,0,0,1,0,0,1,0,0,1,0.706
"BDS.fetch+Status+Distance.t.Status","fetch+Status+Distance.t.Status",347.193349866642,391.275285563359,0.45834,NA,21.17,0,2.578,3.945,0.045,0.031,0,0,0,0,1,0,0,0,1,1,0.751
"BMS","Status+Distance+org.by.Status",312.607228213057,357.982246907728,0.52627,NA,22.45,0,0,0,0.937,0.661,0,0,0,0,0,1,0,0,1,1,0.937
"CPN.sqrt.X4mm+Distance","sqrt.X4mm+Distance",477.211361111149,521.093352614688,0.49295,NA,20.9,0,0,1.603,0.061,0.031,1,0,0,0,0,0,0,0,0,1,0.061
"CPN.sqrt.X4mm+fetch+Distance","sqrt.X4mm+fetch+Distance",477.40026937098,521.391999648418,0.48872,NA,21.06,0,0.189,1.902,0.056,0.027,1,0,0,0,1,0,0,0,0,1,0.117
"CPN.sqrt.X1mm+lobster+Distance","sqrt.X1mm+lobster+Distance",477.515528727141,519.489945455275,0.44359,NA,19.05,0,0.304,0,0.053,0.069,0,0,1,0,0,0,0,1,0,1,0.17
"CPN.sqrt.X1mm+Distance","sqrt.X1mm+Distance",477.877695247619,519.889490244463,0.45414,NA,19.11,0,0.666,0.4,0.044,0.056,0,0,1,0,0,0,0,0,0,1,0.214
"CPN.sqrt.X1mm+snapper+Distance","sqrt.X1mm+snapper+Distance",478.147611241407,520.250863032048,0.44695,NA,19.14,0,0.936,0.761,0.038,0.047,0,0,1,0,0,0,1,0,0,1,0.252
