Ident,Site,Year,Month,Replicate,Survey,Acropora spp.,Alcyoniidae,Alveopora spp.,Astreopora spp.,Caulastrea spp.,Coscinarea spp.,Cyphastrea spp.,Dendronephthya spp.,Diploastrea spp.,Echinophyllia spp.,Echinopora spp.,Euphyllia spp.,Favia spp.,Faviidae,Favites spp.,Fungia spp.,Fungiidae,Galaxea spp.,Gardineroseris spp.,Goniastrea spp.,Goniopora spp.,Hard coral,Hydnophora spp.,Isopora spp.,Leptastrea spp.,Leptoria spp.,Leptoseris spp.,Lithophyllon spp.,Lobophyllia spp.,Lobophytum spp.,Merulina spp.,Millepora spp.,Montastrea spp.,Montipora spp.,Mycedium spp.,Octocorals - Soft,Oulophyllia spp.,Oxypora spp.,Pachyseris spp.,Pavona spp.,Pectinia spp.,Platygyra spp.,Plerogyra spp.,Plesiastrea spp.,Pocillopora spp.,Podabacia spp.,Porites spp.,Psammocora spp.,Sarcophyton spp.,Scolymia spp.,Seriatopora spp.,Sinularia spp.,Stylophora spp.,Symphyllia spp.,Tubipora spp.,Turbinaria spp.,allcoral,totalpoints,av.wave,max.wave,dredge days,dredge.pres,bleach.ind,bleach.pres,DHW,dhw.fact,Depth
5_2009_11_T1,5,2009,11,T1,1,25,0,0,1,0,0,2,0,0,0,0,0,1,0,6,0,3,2,0,5,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,36,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,119,294,0,0,0,0,0,0,0,0,3
5_2009_11_T2,5,2009,11,T2,1,25,0,0,1,0,0,2,0,0,0,0,0,2,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,7,0,3,13,0,4,0,32,0,1,0,2,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,123,300,0,0,0,0,0,0,0,0,3
5_2009_11_T3,5,2009,11,T3,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,26,0,1,0,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,76,300,0,0,0,0,0,0,0,0,3
8_2009_11_T1,8,2009,11,T1,1,65,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,110,276,0,0,0,0,0,0,0,0,4
8_2009_11_T2,8,2009,11,T2,1,26,0,0,0,0,0,9,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,20,0,1,1,0,0,0,0,0,0,2,3,0,0,4,0,15,0,0,0,0,0,0,0,0,0,88,276,0,0,0,0,0,0,0,0,4
8_2009_11_T3,8,2009,11,T3,1,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,75,306,0,0,0,0,0,0,0,0,4
8_2009_11_T4,8,2009,11,T4,1,23,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,137,306,0,0,0,0,0,0,0,0,4
11_2009_11_T1,11,2009,11,T1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,4,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120,0,3,0,1,0,0,0,0,1,150,300,0.730429387,0.877547051,0,0,0,0,0,0,9
11_2009_11_T2,11,2009,11,T2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,137,0,4,0,0,3,0,0,0,1,161,300,0.730429387,0.877547051,0,0,0,0,0,0,9
11_2009_11_T3,11,2009,11,T3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,4,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,7,0,0,0,0,140,300,0.730429387,0.877547051,0,0,0,0,0,0,9
11_2009_11_T4,11,2009,11,T4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,0,1,0,0,0,23,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,12,0,1,9,0,0,0,1,100,300,0.730429387,0.877547051,0,0,0,0,0,0,9
12_2009_11_T1,12,2009,11,T1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,3,1,0,0,0,0,0,0,0,3,6,5,9,0,0,0,0,0,0,0,0,0,1,0,0,2,0,82,0,0,0,1,7,1,0,0,0,134,300,0.730429387,0.877547051,0,0,0,0,0,0,9
12_2009_11_T2,12,2009,11,T2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,133,0,0,0,0,0,0,0,0,0,172,300,0.730429387,0.877547051,0,0,0,0,0,0,9
